City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bulgan,MN,72.9,broken clouds,48.8125,103.5347,Unitel Булган салбар
1,Rikitea,PF,71.58,broken clouds,-23.1203,-134.9692,People ThankYou
2,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
3,Cairns,AU,83.07,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
4,Anloga,GH,77.32,broken clouds,5.7947,0.8973,Pin Drop Hotel
5,Diffa,NE,81.05,scattered clouds,13.3154,12.6113,ProDAF/Diffa
6,Geraldton,AU,68.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
7,Maragogi,BR,73.56,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
8,Awbari,LY,79.86,clear sky,26.5921,12.7805,فندق أوباري
9,Kinshasa,CD,68.5,overcast clouds,-4.3246,15.3215,Star Hotel II
10,Bodrum,TR,74.68,clear sky,37.0383,27.4292,The Marmara Bodrum
11,Luneville,FR,66.78,clear sky,48.6,6.5,Brit Hotel Nancy Lunéville
12,Kita,ML,72.41,overcast clouds,13.0349,-9.4895,Hôtel Chat Rouge
13,Kapaa,US,80.58,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
14,Hithadhoo,MV,82.99,overcast clouds,-0.6,73.0833,Scoop Guest House
15,Siocon,PH,83.82,broken clouds,7.7061,122.1353,ABS Hotel
16,Thompson,CA,69.96,broken clouds,55.7435,-97.8558,Burntwood Hotel
17,Puerto Ayora,EC,69.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
18,Sovetskiy,RU,70.7,overcast clouds,61.3614,63.5842,Apartment on Kievskaya 29
19,Atuona,PF,77.7,scattered clouds,-9.8,-139.0333,Villa Enata
20,Robertsport,LR,77.95,light rain,6.7533,-11.3686,Kwepunha Retreat
21,Tautira,PF,78.58,scattered clouds,-17.7333,-149.15,Pension Oaoa
22,Mana,GF,76.53,overcast clouds,5.6592,-53.7767,LE SAMANA
23,Luanda,AO,68.0,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
24,Biak,ID,77.31,overcast clouds,-0.9131,122.8766,Penginapan Kim
25,Marsh Harbour,BS,82.6,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
26,Pitimbu,BR,73.99,light rain,-7.4706,-34.8086,Reserva do Abiaí
27,Severo-Yeniseyskiy,RU,68.49,light rain,60.3725,93.0408,Aktolik
28,Katsuura,JP,78.82,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
29,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
30,Saint George,US,72.19,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
31,Alice Springs,AU,76.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
