City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bulgan,MN,48.8125,103.5347,72.9,42,52,5.46,broken clouds
1,Codrington,AU,-38.2667,141.9667,54.19,80,100,20.4,overcast clouds
2,Rikitea,PF,-23.1203,-134.9692,71.58,58,76,19.71,broken clouds
3,Alofi,NU,-19.0595,-169.9187,76.89,94,75,4.61,broken clouds
4,Hermanus,ZA,-34.4187,19.2345,44.8,84,0,13.2,clear sky
5,Barrow,US,71.2906,-156.7887,55.42,71,0,11.5,clear sky
6,Muyezerskiy,RU,63.9333,31.65,49.41,74,64,8.46,broken clouds
7,Airai,TL,-8.9266,125.4092,72.23,43,65,4.29,broken clouds
8,Cairns,AU,-16.9167,145.7667,83.07,67,100,16.11,overcast clouds
9,Concordia,AR,-31.393,-58.0209,38.79,100,9,5.06,clear sky
10,Port Elizabeth,ZA,-33.918,25.5701,50.31,94,0,3.44,clear sky
11,Anloga,GH,5.7947,0.8973,77.32,87,52,7.96,broken clouds
12,Jamestown,US,42.097,-79.2353,56.84,71,75,0.0,broken clouds
13,Busselton,AU,-33.65,115.3333,64.17,75,87,11.59,overcast clouds
14,Ushuaia,AR,-54.8,-68.3,33.46,93,75,13.8,light snow
15,Diffa,NE,13.3154,12.6113,81.05,53,48,11.01,scattered clouds
16,Geraldton,AU,-28.7667,114.6,68.41,64,0,5.75,clear sky
17,Albany,US,42.6001,-73.9662,58.41,66,2,5.01,clear sky
18,Maragogi,BR,-9.0122,-35.2225,73.56,90,28,3.38,scattered clouds
19,Awbari,LY,26.5921,12.7805,79.86,19,0,9.69,clear sky
20,Mount Gambier,AU,-37.8333,140.7667,51.71,93,100,8.05,overcast clouds
21,Qaanaaq,GL,77.484,-69.3632,33.49,77,32,7.96,scattered clouds
22,Kinshasa,CD,-4.3246,15.3215,68.5,80,86,4.12,overcast clouds
23,Upernavik,GL,72.7868,-56.1549,31.51,92,24,12.95,few clouds
24,Voznesenye,RU,61.0106,35.4781,48.76,96,100,14.34,overcast clouds
25,Pacific Grove,US,36.6177,-121.9166,57.31,83,0,8.05,clear sky
26,Bodrum,TR,37.0383,27.4292,74.68,70,0,4.05,clear sky
27,Luneville,FR,48.6,6.5,66.78,85,6,6.89,clear sky
28,Tongzi,CN,28.7829,105.0877,90.18,53,62,4.14,broken clouds
29,Port Alfred,ZA,-33.5906,26.891,58.28,76,87,4.23,overcast clouds
30,Kita,ML,13.0349,-9.4895,72.41,89,100,4.59,overcast clouds
31,Xining,CN,36.6167,101.7667,56.19,85,100,3.09,overcast clouds
32,Chuy,UY,-33.6971,-53.4616,43.07,72,36,5.03,scattered clouds
33,Kapaa,US,22.0752,-159.319,80.58,85,100,14.97,overcast clouds
34,Dikson,RU,73.5069,80.5464,37.29,92,100,11.12,overcast clouds
35,Taitung,TW,22.7583,121.1444,95.27,55,20,6.91,few clouds
36,Hobart,AU,-42.8794,147.3294,57.22,76,75,9.22,broken clouds
37,Saint Anthony,US,45.0205,-93.218,85.93,63,0,12.66,clear sky
38,Penzance,GB,50.1186,-5.5371,56.08,85,100,17.76,overcast clouds
39,Bethel,US,41.3712,-73.414,59.49,69,0,4.61,clear sky
40,Hithadhoo,MV,-0.6,73.0833,82.99,71,94,10.02,overcast clouds
41,New Norfolk,AU,-42.7826,147.0587,56.88,80,97,1.99,overcast clouds
42,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,93,75,11.5,broken clouds
43,Punta Arenas,CL,-53.15,-70.9167,35.71,80,0,11.5,clear sky
44,Longyearbyen,SJ,78.2186,15.6401,39.04,60,0,9.22,clear sky
45,Siocon,PH,7.7061,122.1353,83.82,75,83,3.6,broken clouds
46,Thompson,CA,55.7435,-97.8558,69.96,73,75,5.75,broken clouds
47,Klaksvik,FO,62.2266,-6.589,50.92,97,99,9.64,overcast clouds
48,Puerto Ayora,EC,-0.7393,-90.3518,69.55,97,91,1.99,overcast clouds
49,Sovetskiy,RU,61.3614,63.5842,70.7,52,99,4.81,overcast clouds
50,Atuona,PF,-9.8,-139.0333,77.7,81,28,18.45,scattered clouds
51,Robertsport,LR,6.7533,-11.3686,77.95,77,17,4.25,light rain
52,Cidreira,BR,-30.1811,-50.2056,50.92,80,0,5.77,clear sky
53,Kodiak,US,57.79,-152.4072,51.31,82,100,9.22,overcast clouds
54,Tautira,PF,-17.7333,-149.15,78.58,73,48,19.17,scattered clouds
55,Pringsewu,ID,-5.3582,104.9744,85.33,66,15,3.96,few clouds
56,Lebu,CL,-37.6167,-73.65,50.99,93,100,10.0,light rain
57,Nikolskoye,RU,59.7035,30.7861,57.09,68,42,10.42,scattered clouds
58,Cape Town,ZA,-33.9258,18.4232,59.38,75,20,11.99,few clouds
59,Gwembe,ZM,-16.4975,27.6069,49.96,63,5,1.39,clear sky
60,Mana,GF,5.6592,-53.7767,76.53,89,100,4.76,overcast clouds
61,Paamiut,GL,61.994,-49.6678,39.11,98,100,22.79,light rain
62,Luanda,AO,-8.8368,13.2343,68.0,83,40,4.61,scattered clouds
63,Batagay,RU,67.6333,134.6333,52.47,44,52,13.47,broken clouds
64,Biak,ID,-0.9131,122.8766,77.31,83,98,4.41,overcast clouds
65,Assiniboia,CA,49.6334,-105.9845,58.82,94,80,5.75,broken clouds
66,Mataura,NZ,-46.1927,168.8643,45.48,96,55,1.77,broken clouds
67,Marsh Harbour,BS,26.5412,-77.0636,82.6,70,99,4.65,overcast clouds
