City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2022-06-19 03:00:59,-54.8,-68.3,20.57,95,96,4.61
1,Haines Junction,CA,2022-06-19 03:01:00,60.7522,-137.5108,61.84,35,94,8.55
2,Nizhniy Bestyakh,RU,2022-06-19 03:01:00,61.9594,129.9086,78.28,41,0,8.95
3,Hermanus,ZA,2022-06-19 03:01:00,-34.4187,19.2345,45.81,74,15,8.43
4,Rikitea,PF,2022-06-19 03:01:01,-23.1203,-134.9692,74.48,68,100,9.95
5,Florianopolis,BR,2022-06-19 02:58:55,-27.6146,-48.5012,53.4,77,75,3.44
6,Port Alfred,ZA,2022-06-19 03:01:01,-33.5906,26.891,54.18,92,71,1.99
7,Kautokeino,NO,2022-06-19 03:01:02,69.0125,23.0412,43.25,90,100,3.42
8,Margate,GB,2022-06-19 03:01:02,51.3813,1.3862,54.7,91,96,8.99
9,Hilo,US,2022-06-19 03:01:02,19.7297,-155.09,83.28,87,40,3.0
10,Atuona,PF,2022-06-19 03:01:03,-9.8,-139.0333,77.38,77,17,18.88
11,Puerto Ayora,EC,2022-06-19 03:01:03,-0.7393,-90.3518,69.55,98,86,3.0
12,Belogorsk,RU,2022-06-19 03:01:03,50.9158,128.4611,72.1,52,87,11.63
13,Nikolskoye,RU,2022-06-19 03:01:04,59.7035,30.7861,58.91,97,100,9.28
14,Castro,BR,2022-06-19 03:01:04,-24.7911,-50.0119,45.05,84,0,3.24
15,Geraldton,AU,2022-06-19 03:01:04,-28.7667,114.6,66.61,82,100,14.97
16,Saint-Philippe,RE,2022-06-19 03:01:05,-21.3585,55.7679,67.59,76,41,9.8
17,Punta Arenas,CL,2022-06-19 02:56:57,-53.15,-70.9167,30.31,74,0,14.97
18,Bengkulu,ID,2022-06-19 02:57:03,-3.8004,102.2655,82.63,68,75,1.66
19,Bredasdorp,ZA,2022-06-19 03:01:05,-34.5322,20.0403,48.04,81,3,6.58
20,Dmitriyevka,RU,2022-06-19 03:01:06,54.75,55.3333,62.15,83,100,5.91
